datetime,BTC_USDT_ann_vol_168h,ETH_USDT_ann_vol_168h,SOL_USDT_ann_vol_168h
2026-08-21T21:00:00.000000,0.5567141009491812,0.7741710260626125,0.5932042502309186
2026-08-21T22:00:00.000000,0.5566980735705014,0.7741842875627359,0.5940865506107139
2026-08-21T23:00:00.000000,0.5570180345386818,0.7747080024432104,0.5964800627664312
2026-08-22T00:00:00.000000,0.5586980248671245,0.7746354337886412,0.5963438910915573
2026-08-22T01:00:00.000000,0.5590426223613231,0.7767011168500354,0.5968506307007262
2026-08-22T02:00:00.000000,0.5612806324015,0.7767716775419495,0.6126330319079949
2026-08-22T03:00:00.000000,0.5611573820540166,0.7766328904012387,0.6165849488673039
2026-08-22T04:00:00.000000,0.561169789884458,0.7767411844410991,0.6378255018416739
2026-08-22T05:00:00.000000,0.5717681706870449,0.8095452780920401,0.7415910738208328
2026-08-22T06:00:00.000000,0.5717389037789321,0.8097191703848019,0.7416006997170761
2026-08-22T07:00:00.000000,0.5722322959012563,0.8098895005694019,0.7410402474821105
2026-08-22T08:00:00.000000,0.5719209270951701,0.8102329580521604,0.7415891542224582
2026-08-22T09:00:00.000000,0.5723667274070403,0.8105389383572437,0.7419519145916161
2026-08-22T10:00:00.000000,0.5725702097697069,0.8114014968504623,0.7473803898954593
2026-08-22T11:00:00.000000,0.5724857867041498,0.8115468668560804,0.7476373945673986
2026-08-22T12:00:00.000000,0.5725047733628998,0.8115271546414615,0.7482436713461916
2026-08-22T13:00:00.000000,0.5725393448140986,0.8114690913938609,0.748358188477299
2026-08-22T14:00:00.000000,0.5735298932493583,0.8135322121997727,0.7520016685839135
2026-08-22T15:00:00.000000,0.5736316756604974,0.8137542892930009,0.7523514214598083
2026-08-22T16:00:00.000000,0.5739210716620989,0.8140541615412881,0.7570434063858841
2026-08-22T17:00:00.000000,0.5738825377144953,0.813954490975798,0.757084840524899
2026-08-22T18:00:00.000000,0.5738899064278751,0.8138141511516659,0.7568091805045822
2026-08-22T19:00:00.000000,0.5739231371293834,0.8142022191442505,0.7567950022965011
2026-08-22T20:00:00.000000,0.5741164003722308,0.8147486369775955,0.7568893068554489
2026-08-22T21:00:00.000000,0.5764104789603663,0.8190078209377647,0.7679579525131754
2026-08-22T22:00:00.000000,0.5763218132571455,0.8189743059296759,0.7696161783813762
2026-08-22T23:00:00.000000,0.5761464957919574,0.8188770136258483,0.7689595364748252
2026-08-23T00:00:00.000000,0.5762197999441977,0.8189199511201892,0.790369408053234
2026-08-23T01:00:00.000000,0.5764738407136311,0.8194093392792813,0.7910793042529718
2026-08-23T02:00:00.000000,0.576772179907337,0.8199460001650738,0.7966772245368066
2026-08-23T03:00:00.000000,0.5771730827878373,0.8200886847523148,0.8030007899860022
2026-08-23T04:00:00.000000,0.5783551526277821,0.8282491280041652,0.8086359648024369
2026-08-23T05:00:00.000000,0.5813914539117898,0.8285191692040338,0.8089736233279076
2026-08-23T06:00:00.000000,0.5813483846786685,0.8295270109073558,0.8090439038204741
2026-08-23T07:00:00.000000,0.5815160640123476,0.8296064977424149,0.809106703836748
2026-08-23T08:00:00.000000,0.5826739363308445,0.8316892016359388,0.8103899038141738
2026-08-23T09:00:00.000000,0.5824152338181675,0.8317189517915782,0.8100468836945166
